movieId,title,genres,release_year,runtime,language
1,Toy Story (1995),Animation|Comedy|Family,1995.0,81.0,en
10,GoldenEye (1995),Adventure|Action|Thriller,1995.0,130.0,en
14,Nixon (1995),History|Drama,1995.0,192.0,en
15,Cutthroat Island (1995),Action|Adventure,1995.0,119.0,en
16,Casino (1995),Drama|Crime,1995.0,178.0,en
17,Sense and Sensibility (1995),Drama|Romance,1995.0,136.0,en
18,Four Rooms (1995),Crime|Comedy,1995.0,98.0,en
19,Ace Ventura: When Nature Calls (1995),Crime|Comedy|Adventure,1995.0,90.0,en
20,Money Train (1995),Action|Comedy|Crime,1995.0,103.0,en
21,Get Shorty (1995),Comedy|Thriller|Crime,1995.0,105.0,en
22,Copycat (1995),Drama|Thriller,1995.0,124.0,en
23,Assassins (1995),Action|Adventure|Crime|Thriller,1995.0,132.0,en
25,Leaving Las Vegas (1995),Drama|Romance,1995.0,112.0,en
34,Babe (1995),Fantasy|Drama|Comedy|Family,1995.0,89.0,en
36,Dead Man Walking (1995),Drama,1995.0,122.0,en
39,Clueless (1995),Comedy|Drama|Romance,1995.0,97.0,en
41,Richard III (1995),Drama|War,1995.0,104.0,en
43,Restoration (1995),Horror,2016.0,90.0,en
44,Mortal Kombat (1995),Action|Fantasy,1995.0,101.0,en
45,To Die For (1995),Fantasy|Drama|Comedy|Thriller,1995.0,106.0,en
48,Pocahontas (1995),Adventure|Animation|Drama|Family,1995.0,81.0,en
57,Home for the Holidays (1995),Comedy|Drama|Romance,1995.0,103.0,en
61,Eye for an Eye (1996),Drama|Thriller,1996.0,101.0,en
62,Mr. Holland's Opus (1995),Music|Drama|Family,1995.0,137.0,en
69,Friday (1995),Comedy,1995.0,91.0,en
70,From Dusk Till Dawn (1996),Horror|Action|Thriller|Crime,1996.0,108.0,en
71,Fair Game (1995),Drama|Thriller,2010.0,108.0,en
81,Things to Do in Denver when You're Dead (1995),Drama|Crime,1995.0,116.0,en
86,White Squall (1996),Action|Drama,1996.0,129.0,en
92,Mary Reilly (1996),Drama|Horror|Thriller|Romance,1996.0,104.0,en
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,1995.0,100.0,en
95,Broken Arrow (1996),Action|Adventure|Drama|Thriller,1996.0,108.0,en
100,City Hall (1996),Drama|Thriller,1996.0,111.0,en
101,Bottle Rocket (1996),Comedy|Crime|Drama,1996.0,91.0,en
104,Happy Gilmore (1996),Comedy,1996.0,92.0,en
110,Braveheart (1995),Action|Drama|History|War,1995.0,177.0,en
111,Taxi Driver (1976),Crime|Drama,1976.0,114.0,en
112,Rumble in the Bronx (1995),Crime|Action|Comedy|Thriller,1995.0,91.0,cn
122,Boomerang (1992),Comedy|Romance,1992.0,117.0,en
125,Flirting With Disaster (1996),Comedy|Romance,1996.0,92.0,en
132,Jade (1995),Action|Thriller|Mystery|Romance,1995.0,95.0,en
137,Man of the Year (1995),Comedy|Drama|Romance|Thriller,2006.0,115.0,en
145,Bad Boys (1995),Action|Comedy|Crime|Thriller,1995.0,118.0,en
150,Apollo 13 (1995),Drama,1995.0,140.0,en
151,Rob Roy (1995),Adventure,1995.0,139.0,en
153,Batman Forever (1995),Action|Crime|Fantasy,1995.0,121.0,en
158,Casper (1995),Fantasy|Comedy|Family,1995.0,100.0,en
160,Congo (1995),Action|Adventure|Drama|Mystery|Science Fiction|Thriller,1995.0,109.0,en
161,Crimson Tide (1995),Action|Thriller|Drama,1995.0,116.0,en
163,Desperado (1995),Thriller|Action|Crime,1995.0,104.0,en
165,Die Hard: With a Vengeance (1995),Action|Thriller,1995.0,128.0,en
168,First Knight (1995),Action|Adventure|Drama|Romance,1995.0,134.0,en
170,Hackers (1995),Action|Crime|Thriller|Drama,1995.0,107.0,en
175,Kids (1995),Drama|Crime,1995.0,91.0,en
180,Mallrats (1995),Romance|Comedy,1995.0,94.0,en
190,Safe (1995),Action|Crime|Thriller,2012.0,94.0,en
193,Showgirls (1995),Drama,1995.0,128.0,en
196,Species (1995),Science Fiction|Horror|Action,1995.0,108.0,en
204,Under Siege 2: Dark Territory (1995),Action|Thriller,1995.0,100.0,en
208,Waterworld (1995),Adventure|Action,1995.0,135.0,en
215,Before Sunrise (1995),Drama|Romance,1995.0,105.0,en
223,Clerks (1994),Comedy,1994.0,92.0,en
224,Don Juan DeMarco (1995),Romance|Drama|Comedy,1994.0,97.0,en
225,Disclosure (1994),Drama|Thriller|Crime|Mystery|Romance,1994.0,123.0,en
233,Exotica (1994),Drama|Mystery,1994.0,103.0,en
235,Ed Wood (1994),Comedy|Drama|History,1994.0,127.0,en
246,Hoop Dreams (1994),Documentary,1994.0,171.0,en
247,Heavenly Creatures (1994),Drama|Fantasy,1994.0,99.0,en
253,Interview with the Vampire (1994),Horror|Romance,1994.0,123.0,en
254,Jefferson in Paris (1995),Drama|Romance,1995.0,139.0,en
259,Kiss of Death (1995),Action|Crime|Drama|Thriller,1995.0,101.0,en
261,Little Women (1994),Drama|Romance,1994.0,115.0,en
266,Legends of the Fall (1994),Adventure|Drama|Romance|War,1994.0,133.0,en
274,Man of the House (1995),Comedy|Action,2005.0,100.0,en
292,Outbreak (1995),Action|Drama|Science Fiction|Thriller,1995.0,127.0,en
296,Pulp Fiction (1994),Thriller|Crime,1994.0,154.0,en
299,Priest (1994),Action|Science Fiction|Fantasy|Thriller|Horror,2011.0,87.0,en
